Ulice;Typ_SO;Cislo_domu;Cislo_or;Naz_casti;PSC;Y;X
Máchova;è.p.;1048;1;Slaný;274 01;-764246.48;-1023416.93
Máchova;è.p.;1049;3;Slaný;274 01;-764224.98;-1023420.26
Máchova;è.p.;1050;5;Slaný;274 01;-764206.53;-1023425.54
Máchova;è.p.;1051;7;Slaný;274 01;-764188.53;-1023420.81
Máchova;è.p.;1052;9;Slaný;274 01;-764170.99;-1023421.75
Máchova;è.p.;1215;15;Slaný;274 01;-764118.08;-1023417.96
Máchova;è.p.;1263;17;Slaný;274 01;-764099.62;-1023417.54
Máchova;è.p.;1434;1;Slaný;274 01;-764186.44;-1023465.06
Máchova;è.p.;1435;2;Slaný;274 01;-764165.94;-1023463.31
Máchova;è.p.;1441;3;Slaný;274 01;-764244.06;-1023468.75
Máchova;è.p.;1442;4;Slaný;274 01;-764224.13;-1023468.44
Máchova;è.p.;1461;5;Slaný;274 01;-764224.56;-1023505.0
Máchova;è.p.;1462;6;Slaný;274 01;-764241.75;-1023505.19
Máchova;è.p.;1492;;Slaný;274 01;-764151.72;-1023421.66
Máchova;è.p.;1137;13;Slaný;274 01;-764135.01;-1023419.22
Máchova;è.p.;1842;;Slaný;274 01;-764177.51;-1023367.12
Máchova;è.p.;1843;;Slaný;274 01;-764172.24;-1023366.22
Máchova;è.ev.;316;;Slaný;274 01;-762888.39;-1023836.9
Máchova;è.ev.;317;;Slaný;274 01;-762931.6;-1023779.06
Máchova;è.ev.;318;;Slaný;274 01;-764215.29;-1023523.59
Máchova;è.ev.;319;;Slaný;274 01;-764218.4;-1023523.76
Máchova;è.ev.;320;;Slaný;274 01;-762855.0;-1023834.09
Máchova;è.ev.;322;;Slaný;274 01;-764229.1;-1023524.68
Máchova;è.ev.;323;;Slaný;274 01;-764232.27;-1023524.97
Máchova;è.ev.;324;;Slaný;274 01;-764235.78;-1023524.74
Máchova;è.ev.;325;;Slaný;274 01;-762971.87;-1023824.12
Máchova;è.ev.;326;;Slaný;274 01;-762323.59;-1024490.32
Máchova;è.ev.;327;;Slaný;274 01;-762769.81;-1023834.29
Máchova;è.ev.;328;;Slaný;274 01;-764887.11;-1024875.01
Máchova;è.ev.;330;;Slaný;274 01;-763685.45;-1023638.18
Máchova;è.ev.;331;;Slaný;274 01;-763659.84;-1023630.39
